Location,Latitude,Longitude
Lingarajapura,13.00548,77.62597
Lingarajasagara,20.23604,85.83702
Machohalli,13.00615,77.45295
Madappanahalli,13.15407,77.5404
Madavara,24.37377,78.79607
Madhugirihalli,13.12823,77.50889
Mahadevakodigehalli,38.89037,-77.03196
Makali,13.06554,77.45341
Mallasandra,13.21536,78.16089
Manchappanahosahalli,13.13269,77.7189
Manganahalli,14.74796,76.2137
Maralakunte,13.13279,77.71318
Maranayakana Halli,12.87472,76.11901
Marasandra,12.97958,77.87471
Marasandra Amanikere,13.11227,77.69062
Marenahalli,13.16438,77.73752
Mariyanapalya,13.04964,77.61182
Mathahalli,28.57883,76.47291
Mathkur,17.45822,79.25816
Mavallipura,13.1272,77.52892
Medi Agrahara,13.1006,77.53149
Meenakunte,13.1803,77.64386
Meesaganahalli,38.89037,-77.03196
Muddanahalli,13.15032,77.57851
Muniyanapalya,12.98125,77.04536
Muthagada Halli,13.50048,77.50441
Muthugada Halli,38.89037,-77.03196
Mylanahalli,13.107,76.55048
Mylappanahalli,12.2534,78.21019
Nagadasanahalli,13.16026,77.57942
Nagarur,15.00151,77.83697
Nagasandra,13.04487,77.50151
Narasipura,13.08481,76.09417
Narayanappana Palya,13.00726,77.63811
Navarathna Agrahara,12.88068,77.65782
Nellukunte,13.22206,77.54279
Nellukunte,13.22206,77.54279
Papanahalli,14.30541,76.34398
Pillahalli,14.25536,76.97231
Rajanukunte,13.17175,77.56564
Ramagondanahalli,12.95538,77.74437
Rampalya,13.1132,77.42463
Ravuthanahalli,13.02607,77.42454
Sadenahalli,13.47409,77.60464
Sasiveghatta,13.09203,77.47772
Sathnur,11.07475,78.65387
Seegehalli,13.01293,77.72082
Seeresandra,13.08427,78.28227
Seethakempanahalli,13.1712,77.51939
Seshagiri Rao Palya,16.96356,82.22758
Settigere,13.21324,75.85552
Shamabhattara Palya,13.00923,77.63543
Shamarajpura,38.89037,-77.03196
Shanubhoganahalli,13.17926,77.5313
Shivakote,13.12152,77.52155
Shivanapura,12.87142,77.86472
Siddanahosahalli,41.49471,-87.55805
Singahalli,13.2256,77.627
Singanayakanahalli,13.14524,77.56977
Singanayakanahalli Amanikere,13.14524,77.56977
Soladevanahalli,13.09294,77.48996
Somashetti Halli,13.50008,76.29007
Sondekoppa,13.09069,77.3964
Sonnappanahalli,13.30384,77.57987
Sonnenahalli,12.94264,77.48035
Sreeramanahalli,12.74409,76.65562
Suradenpura,13.20483,77.55895
Syadamipalya,38.89037,-77.03196
Tarahunase,13.17799,77.58929
Thammarasanahalli,13.19364,77.83331
Thammenahalli,14.96822,76.83311
Tharabana Halli,13.10125,77.48201
Tharabanahalli,12.79076,77.62287
Thimmasandra,12.86616,77.7958
Thirumalapura,13.97394,76.20261
Torenagasandra,13.11448,77.47499
Totagere,13.13619,77.44719
